,slide_id
0,normal_001
1,normal_002
2,normal_003
3,normal_004
4,normal_005
5,normal_006
6,normal_007
7,normal_008
8,normal_009
9,normal_010
10,normal_011
11,normal_012
12,normal_013
13,normal_014
14,normal_015
15,normal_016
16,normal_017
17,normal_018
18,normal_019
19,normal_020
20,normal_021
21,normal_022
22,normal_023
23,normal_024
24,normal_025
25,normal_026
26,normal_027
27,normal_028
28,normal_029
29,normal_030
30,normal_031
31,normal_032
32,normal_033
33,normal_034
34,normal_035
35,normal_036
36,normal_037
37,normal_038
38,normal_039
39,normal_040
40,normal_041
41,normal_042
42,normal_043
43,normal_044
44,normal_045
45,normal_046
46,normal_047
47,normal_048
48,normal_049
49,normal_050
50,normal_051
51,normal_052
52,normal_053
53,normal_054
54,normal_055
55,normal_056
56,normal_057
57,normal_058
58,normal_059
59,normal_060
60,normal_061
61,normal_062
62,normal_063
63,normal_064
64,normal_065
65,normal_066
66,normal_067
67,normal_068
68,normal_069
69,normal_070
70,normal_071
71,normal_072
72,normal_073
73,normal_074
74,normal_075
75,normal_076
76,normal_077
77,normal_078
78,normal_079
79,normal_080
80,normal_081
81,normal_082
82,normal_083
83,normal_084
84,normal_085
85,normal_087
86,normal_088
87,normal_089
88,normal_090
89,normal_091
90,normal_092
91,normal_093
92,normal_094
93,normal_095
94,normal_096
95,normal_097
96,normal_098
97,normal_099
98,normal_100
99,normal_101
100,normal_102
101,normal_103
102,normal_104
103,normal_105
104,normal_106
105,normal_107
106,normal_108
107,normal_109
108,normal_110
109,normal_111
110,normal_112
111,normal_113
112,normal_114
113,normal_115
114,normal_116
115,normal_117
116,normal_118
117,normal_119
118,normal_120
119,normal_121
120,normal_122
121,normal_123
122,normal_124
123,normal_125
124,normal_126
125,normal_127
126,normal_128
127,normal_129
128,normal_130
129,normal_131
130,normal_132
131,normal_133
132,normal_134
133,normal_135
134,normal_136
135,normal_137
136,normal_138
137,normal_139
138,normal_140
139,normal_141
140,normal_142
141,normal_143
142,normal_144
143,normal_145
144,normal_146
145,normal_147
146,normal_148
147,normal_149
148,normal_150
149,normal_151
150,normal_152
151,normal_153
152,normal_154
153,normal_155
154,normal_156
155,normal_157
156,normal_158
157,normal_159
158,normal_160
159,test_001
160,test_002
161,test_003
162,test_004
163,test_005
164,test_006
165,test_007
166,test_008
167,test_009
168,test_010
169,test_011
170,test_012
171,test_013
172,test_014
173,test_015
174,test_016
175,test_017
176,test_018
177,test_019
178,test_020
179,test_021
180,test_022
181,test_023
182,test_024
183,test_025
184,test_026
185,test_027
186,test_028
187,test_029
188,test_030
189,test_031
190,test_032
191,test_033
192,test_034
193,test_035
194,test_036
195,test_037
196,test_038
197,test_039
198,test_040
199,test_041
200,test_042
201,test_043
202,test_044
203,test_045
204,test_046
205,test_047
206,test_048
207,test_050
208,test_051
209,test_052
210,test_053
211,test_054
212,test_055
213,test_056
214,test_057
215,test_058
216,test_059
217,test_060
218,test_061
219,test_062
220,test_063
221,test_064
222,test_065
223,test_066
224,test_067
225,test_068
226,test_069
227,test_070
228,test_071
229,test_072
230,test_073
231,test_074
232,test_075
233,test_076
234,test_077
235,test_078
236,test_079
237,test_080
238,test_081
239,test_082
240,test_083
241,test_084
242,test_085
243,test_086
244,test_087
245,test_088
246,test_089
247,test_090
248,test_091
249,test_092
250,test_093
251,test_094
252,test_095
253,test_096
254,test_097
255,test_098
256,test_099
257,test_100
258,test_101
259,test_102
260,test_103
261,test_104
262,test_105
263,test_106
264,test_107
265,test_108
266,test_109
267,test_110
268,test_111
269,test_112
270,test_113
271,test_114
272,test_115
273,test_116
274,test_117
275,test_118
276,test_119
277,test_120
278,test_121
279,test_122
280,test_123
281,test_124
282,test_125
283,test_126
284,test_127
285,test_128
286,test_129
287,test_130
288,tumor_001
289,tumor_002
290,tumor_003
291,tumor_004
292,tumor_005
293,tumor_006
294,tumor_007
295,tumor_008
296,tumor_009
297,tumor_010
298,tumor_011
299,tumor_012
300,tumor_013
301,tumor_014
302,tumor_015
303,tumor_016
304,tumor_017
305,tumor_018
306,tumor_019
307,tumor_020
308,tumor_021
309,tumor_022
310,tumor_023
311,tumor_024
312,tumor_025
313,tumor_026
314,tumor_027
315,tumor_028
316,tumor_029
317,tumor_030
318,tumor_031
319,tumor_032
320,tumor_033
321,tumor_034
322,tumor_035
323,tumor_036
324,tumor_037
325,tumor_038
326,tumor_039
327,tumor_040
328,tumor_041
329,tumor_042
330,tumor_043
331,tumor_044
332,tumor_045
333,tumor_046
334,tumor_047
335,tumor_048
336,tumor_049
337,tumor_050
338,tumor_051
339,tumor_052
340,tumor_053
341,tumor_054
342,tumor_055
343,tumor_056
344,tumor_057
345,tumor_058
346,tumor_059
347,tumor_060
348,tumor_061
349,tumor_062
350,tumor_063
351,tumor_064
352,tumor_065
353,tumor_066
354,tumor_067
355,tumor_068
356,tumor_069
357,tumor_070
358,tumor_071
359,tumor_072
360,tumor_073
361,tumor_074
362,tumor_075
363,tumor_076
364,tumor_077
365,tumor_078
366,tumor_079
367,tumor_080
368,tumor_081
369,tumor_082
370,tumor_083
371,tumor_084
372,tumor_085
373,tumor_086
374,tumor_087
375,tumor_088
376,tumor_089
377,tumor_090
378,tumor_091
379,tumor_092
380,tumor_093
381,tumor_094
382,tumor_095
383,tumor_096
384,tumor_097
385,tumor_098
386,tumor_099
387,tumor_100
388,tumor_101
389,tumor_102
390,tumor_103
391,tumor_104
392,tumor_105
393,tumor_106
394,tumor_107
395,tumor_108
396,tumor_109
397,tumor_110
398,tumor_111
