,train,val,test
0,normal_001,normal_016,test_001
1,normal_002,normal_025,test_002
2,normal_003,normal_102,test_003
3,normal_004,normal_155,test_004
4,normal_005,normal_082,test_005
5,normal_007,normal_087,test_006
6,normal_010,normal_068,test_007
7,normal_012,normal_030,test_008
8,normal_013,normal_159,test_009
9,normal_014,normal_009,test_010
10,normal_015,normal_011,test_011
11,normal_017,normal_109,test_012
12,normal_018,normal_063,test_013
13,normal_019,normal_137,test_014
14,normal_020,normal_078,test_015
15,normal_022,normal_021,test_016
16,normal_023,normal_008,test_017
17,normal_024,normal_032,test_018
18,normal_026,normal_046,test_019
19,normal_027,normal_101,test_020
20,normal_028,normal_006,test_021
21,normal_029,normal_064,test_022
22,normal_031,tumor_065,test_023
23,normal_033,tumor_064,test_024
24,normal_034,tumor_067,test_025
25,normal_035,tumor_024,test_026
26,normal_036,tumor_048,test_027
27,normal_037,tumor_084,test_028
28,normal_038,,test_029
29,normal_039,,test_030
30,normal_040,,test_031
31,normal_041,,test_032
32,normal_042,,test_033
33,normal_043,,test_034
34,normal_044,,test_035
35,normal_045,,test_036
36,normal_047,,test_037
37,normal_048,,test_038
38,normal_049,,test_039
39,normal_050,,test_040
40,normal_051,,test_041
41,normal_052,,test_042
42,normal_053,,test_043
43,normal_054,,test_044
44,normal_055,,test_045
45,normal_056,,test_046
46,normal_057,,test_047
47,normal_058,,test_048
48,normal_059,,test_050
49,normal_060,,test_051
50,normal_061,,test_052
51,normal_062,,test_053
52,normal_065,,test_054
53,normal_066,,test_055
54,normal_067,,test_056
55,normal_069,,test_057
56,normal_070,,test_058
57,normal_071,,test_059
58,normal_072,,test_060
59,normal_073,,test_061
60,normal_074,,test_062
61,normal_075,,test_063
62,normal_076,,test_064
63,normal_077,,test_065
64,normal_079,,test_066
65,normal_080,,test_067
66,normal_081,,test_068
67,normal_083,,test_069
68,normal_084,,test_070
69,normal_085,,test_071
70,normal_088,,test_072
71,normal_089,,test_073
72,normal_090,,test_074
73,normal_091,,test_075
74,normal_092,,test_076
75,normal_093,,test_077
76,normal_094,,test_078
77,normal_095,,test_079
78,normal_096,,test_080
79,normal_097,,test_081
80,normal_098,,test_082
81,normal_099,,test_083
82,normal_100,,test_084
83,normal_103,,test_085
84,normal_104,,test_086
85,normal_105,,test_087
86,normal_106,,test_088
87,normal_107,,test_089
88,normal_108,,test_090
89,normal_110,,test_091
90,normal_111,,test_092
91,normal_112,,test_093
92,normal_113,,test_094
93,normal_114,,test_095
94,normal_115,,test_096
95,normal_116,,test_097
96,normal_117,,test_098
97,normal_118,,test_099
98,normal_119,,test_100
99,normal_120,,test_101
100,normal_121,,test_102
101,normal_122,,test_103
102,normal_123,,test_104
103,normal_124,,test_105
104,normal_125,,test_106
105,normal_126,,test_107
106,normal_127,,test_108
107,normal_128,,test_109
108,normal_129,,test_110
109,normal_130,,test_111
110,normal_131,,test_112
111,normal_132,,test_113
112,normal_133,,test_114
113,normal_134,,test_115
114,normal_135,,test_116
115,normal_136,,test_117
116,normal_138,,test_118
117,normal_139,,test_119
118,normal_140,,test_120
119,normal_141,,test_121
120,normal_142,,test_122
121,normal_143,,test_123
122,normal_144,,test_124
123,normal_145,,test_125
124,normal_146,,test_126
125,normal_147,,test_127
126,normal_148,,test_128
127,normal_149,,test_129
128,normal_150,,test_130
129,normal_151,,
130,normal_152,,
131,normal_153,,
132,normal_154,,
133,normal_156,,
134,normal_157,,
135,normal_158,,
136,normal_160,,
137,tumor_001,,
138,tumor_002,,
139,tumor_003,,
140,tumor_004,,
141,tumor_005,,
142,tumor_006,,
143,tumor_007,,
144,tumor_008,,
145,tumor_009,,
146,tumor_010,,
147,tumor_011,,
148,tumor_012,,
149,tumor_013,,
150,tumor_014,,
151,tumor_015,,
152,tumor_016,,
153,tumor_017,,
154,tumor_018,,
155,tumor_019,,
156,tumor_020,,
157,tumor_021,,
158,tumor_022,,
159,tumor_023,,
160,tumor_025,,
161,tumor_026,,
162,tumor_027,,
163,tumor_028,,
164,tumor_029,,
165,tumor_030,,
166,tumor_031,,
167,tumor_032,,
168,tumor_033,,
169,tumor_034,,
170,tumor_035,,
171,tumor_036,,
172,tumor_037,,
173,tumor_038,,
174,tumor_039,,
175,tumor_040,,
176,tumor_041,,
177,tumor_042,,
178,tumor_043,,
179,tumor_044,,
180,tumor_045,,
181,tumor_046,,
182,tumor_047,,
183,tumor_049,,
184,tumor_050,,
185,tumor_051,,
186,tumor_052,,
187,tumor_053,,
188,tumor_054,,
189,tumor_055,,
190,tumor_056,,
191,tumor_057,,
192,tumor_058,,
193,tumor_059,,
194,tumor_060,,
195,tumor_061,,
196,tumor_062,,
197,tumor_063,,
198,tumor_066,,
199,tumor_068,,
200,tumor_069,,
201,tumor_070,,
202,tumor_071,,
203,tumor_072,,
204,tumor_073,,
205,tumor_074,,
206,tumor_075,,
207,tumor_076,,
208,tumor_077,,
209,tumor_078,,
210,tumor_079,,
211,tumor_080,,
212,tumor_081,,
213,tumor_082,,
214,tumor_083,,
215,tumor_085,,
216,tumor_086,,
217,tumor_087,,
218,tumor_088,,
219,tumor_089,,
220,tumor_090,,
221,tumor_091,,
222,tumor_092,,
223,tumor_093,,
224,tumor_094,,
225,tumor_095,,
226,tumor_096,,
227,tumor_097,,
228,tumor_098,,
229,tumor_099,,
230,tumor_100,,
231,tumor_101,,
232,tumor_102,,
233,tumor_103,,
234,tumor_104,,
235,tumor_105,,
236,tumor_106,,
237,tumor_107,,
238,tumor_108,,
239,tumor_109,,
240,tumor_110,,
241,tumor_111,,
